Task,Method,FDR,RC,HDR
admission_level_1_base,Zero-shot Generation,1.0000,0.7500,0.7500
admission_level_1_base,\ioprompt,1.0000,0.7500,0.7500
admission_level_1_base,\iorefine,1.0000,0.7500,0.7500
admission_level_1_base,\hypogenic,1.0000,1.0000,1.0000
admission_level_2_size_5,Zero-shot Generation,1.0000,0.7000,0.7000
admission_level_2_size_5,\ioprompt,1.0000,0.5500,0.5500
admission_level_2_size_5,\iorefine,1.0000,0.1000,0.1000
admission_level_2_size_5,\hypogenic,1.0000,0.8000,0.8000
admission_level_2_distractor_3,Zero-shot Generation,1.0000,0.5000,0.5000
admission_level_2_distractor_3,\ioprompt,1.0000,0.5000,0.5000
admission_level_2_distractor_3,\iorefine,1.0000,0.5000,0.5000
admission_level_2_distractor_3,\hypogenic,1.0000,0.7500,0.7500
admission_level_2_depth_2,Zero-shot Generation,1.0000,1.0000,1.0000
admission_level_2_depth_2,\ioprompt,1.0000,0.7500,0.7500
admission_level_2_depth_2,\iorefine,1.0000,0.7500,0.7500
admission_level_2_depth_2,\hypogenic,1.0000,1.0000,1.0000
admission_level_2_noise_10,Zero-shot Generation,1.0000,0.7500,0.7500
admission_level_2_noise_10,\ioprompt,1.0000,0.7500,0.7500
admission_level_2_noise_10,\iorefine,1.0000,0.0000,0.0000
admission_level_2_noise_10,\hypogenic,1.0000,0.7500,0.7500
admission_level_3_depth_3,Zero-shot Generation,1.0000,0.2500,0.2500
admission_level_3_depth_3,\ioprompt,0.8000,0.3125,0.2500
admission_level_3_depth_3,\iorefine,1.0000,0.0000,0.0000
admission_level_3_depth_3,\hypogenic,1.0000,0.4500,0.4500
admission_level_3_distractor_6,Zero-shot Generation,1.0000,0.5000,0.5000
admission_level_3_distractor_6,\ioprompt,1.0000,0.5000,0.5000
admission_level_3_distractor_6,\iorefine,1.0000,0.5000,0.5000
admission_level_3_distractor_6,\hypogenic,1.0000,0.5000,0.5000
admission_level_3_noise_20,Zero-shot Generation,1.0000,0.5000,0.5000
admission_level_3_noise_20,\ioprompt,1.0000,0.7500,0.7500
admission_level_3_noise_20,\iorefine,1.0000,0.0000,0.0000
admission_level_3_noise_20,\hypogenic,1.0000,0.7500,0.7500
admission_level_3_size_10,Zero-shot Generation,1.0000,0.4750,0.4750
admission_level_3_size_10,\ioprompt,0.9000,0.1389,0.1250
admission_level_3_size_10,\iorefine,0.5000,0.1000,0.0500
admission_level_3_size_10,\hypogenic,1.0000,0.3500,0.3500
